system:index,distance_to_road_m,grid_id,latitude,longitude,.geo
00000000000000000094,1091.4061298723425,HYD_0149,17.54805236505125,78.3520295467148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,369.4000233357115,HYD_0150,17.548179058282784,78.36144160190456,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,1038.944403447585,HYD_0151,17.548303914588484,78.3708547646274,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,1062.132403764342,HYD_0152,17.548428780853985,78.38026791494704,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,923.4640997640929,HYD_0153,17.548551421024722,78.38968108174048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,656.4358685079302,HYD_0154,17.548674412134314,78.39909313125935,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,231.36239602116456,HYD_0155,17.54879891143233,78.40850515773825,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,86.09155075196941,HYD_0156,17.548921539383326,78.41791833690208,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,152.6276052420676,HYD_0157,17.54904414108751,78.42733152081398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,68.83576913094316,HYD_0158,17.549166758388733,78.43674466520194,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,561.7336494883173,HYD_0159,17.549287171189132,78.44615781210382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,23.45101321649495,HYD_0160,17.549408695665967,78.45557137600602,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,616.5036871896945,HYD_0161,17.54953131118665,78.46498377555439,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,869.2414228052104,HYD_0162,17.549651730997795,78.47439768911289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,976.4555777473439,HYD_0163,17.549769884738293,78.48381006532676,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,15.267728186987654,HYD_0164,17.54988915525159,78.49322364045914,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,946.0709684836189,HYD_0165,17.550009545492557,78.50263682654308,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,1255.9565973055444,HYD_0166,17.550128057274417,78.51205106785035,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,992.1437512085967,HYD_0167,17.55024586059235,78.52146536000654,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,540.7696478335032,HYD_0168,17.550364036664266,78.53087851496088,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,83.78626905585556,HYD_0169,17.5504799639144,78.54029169366748,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,679.7221429124756,HYD_0170,17.550596668600456,78.54970637170624,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,441.2839139916094,HYD_0171,17.550714420316023,78.55912133446253,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,92.01040491706432,HYD_0172,17.550828881728634,78.56853524243876,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,117.1300222949266,HYD_0173,17.550943735328175,78.57794879628719,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,175.5745438405668,HYD_0174,17.551059687133836,78.58736195970273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,439.17574429344023,HYD_0175,17.551174867810353,78.59677659695143,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,643.116614296409,HYD_0176,17.55128782319929,78.60619122458712,"{""type"":""MultiPoint"",""coordinates"":[]}"
