system:index,grid_id,latitude,longitude,nighttime_lights,.geo
0000000000000000008c,HYD_0141,17.5470305243455,78.27673315214798,23.563605765259588,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,HYD_0142,17.54716054509241,78.28614405447837,21.746141309589554,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,HYD_0143,17.547289477055713,78.29555611555024,20.87181157565742,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,HYD_0144,17.5474165593197,78.30496929101274,13.836039434211528,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,HYD_0145,17.547544020522675,78.31438134351957,8.973347288392457,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,HYD_0146,17.547671495348414,78.32379193572872,11.339314329980024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,HYD_0147,17.547798967245043,78.33320474725173,18.396423091747668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,HYD_0148,17.547924929721106,78.34261750272947,35.91470771782407,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,HYD_0149,17.54805236505125,78.3520295467148,34.7205156935859,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,HYD_0150,17.548179058282784,78.36144160190456,34.931109799874406,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,HYD_0151,17.548303914588484,78.3708547646274,37.89600702432487,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,HYD_0152,17.548428780853985,78.38026791494704,39.0185367712814,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,HYD_0153,17.548551421024722,78.38968108174048,25.671086917088562,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,HYD_0154,17.548674412134314,78.39909313125935,29.629262793823127,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,HYD_0155,17.54879891143233,78.40850515773825,22.03112254798634,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,HYD_0156,17.548921539383326,78.41791833690208,13.443108207948749,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,HYD_0157,17.54904414108751,78.42733152081398,27.247392268301514,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,HYD_0158,17.549166758388733,78.43674466520194,36.375023352954585,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,HYD_0159,17.549287171189132,78.44615781210382,18.12558569412089,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,HYD_0160,17.549408695665967,78.45557137600602,10.218928234232845,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,HYD_0161,17.54953131118665,78.46498377555439,22.374006434925942,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,HYD_0162,17.549651730997795,78.47439768911289,23.691489894477254,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,HYD_0163,17.549769884738293,78.48381006532676,28.712335772456242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,HYD_0164,17.54988915525159,78.49322364045914,30.44866398836343,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,HYD_0165,17.550009545492557,78.50263682654308,14.732209694243744,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,HYD_0166,17.550128057274417,78.51205106785035,13.035899693203957,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,HYD_0167,17.55024586059235,78.52146536000654,12.339067376430839,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,HYD_0168,17.550364036664266,78.53087851496088,10.811510615779047,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,HYD_0169,17.5504799639144,78.54029169366748,11.967635724254858,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,HYD_0170,17.550596668600456,78.54970637170624,7.131260296092108,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,HYD_0171,17.550714420316023,78.55912133446253,5.16116677206481,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,HYD_0172,17.550828881728634,78.56853524243876,6.1974085268844705,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,HYD_0173,17.550943735328175,78.57794879628719,6.201442328895011,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,HYD_0174,17.551059687133836,78.58736195970273,4.873351029838046,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,HYD_0175,17.551174867810353,78.59677659695143,3.7817506920287833,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,HYD_0176,17.55128782319929,78.60619122458712,3.5197912743122894,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,HYD_0177,17.55140189516244,78.61560627718418,4.708093389561206,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,HYD_0178,17.551515941062622,78.62501977451866,6.618749870815601,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,HYD_0179,17.55162821540411,78.63443444931252,6.648433201653617,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,HYD_0180,17.537479115158007,78.239223212965,33.210889037957116,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,HYD_0181,17.537611400982993,78.24863414819143,30.509931094049858,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,HYD_0182,17.537742211492905,78.25804509206911,28.246866227987226,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,HYD_0183,17.53787222760345,78.26745599159287,34.64570411553302,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,HYD_0184,17.538001192026638,78.2768680609508,25.910414717170628,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,HYD_0185,17.538130504669976,78.2862789650833,29.75838158540947,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,HYD_0186,17.53825981419916,78.29568989558886,24.72367815345581,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba,HYD_0187,17.538387997710743,78.30510268065385,20.41482688068004,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,HYD_0188,17.538515113546882,78.3145143880432,15.549374701824973,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,HYD_0189,17.538643325273124,78.32392494013307,17.015320676096373,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd,HYD_0190,17.53877074173941,78.33333696730057,17.228177933382614,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be,HYD_0191,17.53889522504115,78.34274903706097,28.798622553216703,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,HYD_0192,17.539021962628652,78.35216110488933,41.02435903870658,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,HYD_0193,17.539149756944205,78.36157200967443,42.043095435096085,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,HYD_0194,17.53927424920601,78.3709840714251,31.56755992545168,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2,HYD_0195,17.53939911237893,78.38039722372181,26.462257243179522,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3,HYD_0196,17.539521763555612,78.38981039294062,31.574737534540876,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4,HYD_0197,17.539644383250582,78.3992213347634,28.560245492465043,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5,HYD_0198,17.539769213705075,78.40863226941781,16.617172485651313,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6,HYD_0199,17.539891859088705,78.41804542975784,14.263197374082354,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7,HYD_0200,17.54001447303215,78.42745860150029,23.378666740102865,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8,HYD_0201,17.540137102745128,78.43687176390289,36.92450808495592,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9,HYD_0202,17.54025785298955,78.44628378263488,23.40339087099256,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca,HYD_0203,17.54037790025738,78.45569583859881,12.055002398823586,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb,HYD_0204,17.540499397310953,78.46510940540371,24.446848152969295,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc,HYD_0205,17.540619791184344,78.47452179332612,28.0108154872476,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd,HYD_0206,17.540739091181774,78.48393532350714,33.068162898427424,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce,HYD_0207,17.54085946867407,78.49334849355083,31.437579508015453,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf,HYD_0208,17.5409787630896,78.50276206183847,14.793956693013508,"{""type"":""MultiPoint"",""coordinates"":[]}"
