system:index,built_up_density,grid_id,latitude,longitude,.geo
00000000000000000050,0.07179324189438928,HYD_0081,17.56747102475775,78.4553179786137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,0.3903460944995694,HYD_0082,17.5675921527289,78.46473334083542,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,0.271352311180103,HYD_0083,17.567712215961233,78.47414762352567,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,0.4115475662658499,HYD_0084,17.567832570838934,78.48356076494143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,0.3473327003931252,HYD_0085,17.56795108015855,78.4929750369072,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,0.18744005654084792,HYD_0086,17.56806853915573,78.50239044768749,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,0.13480690419456565,HYD_0087,17.568189292262396,78.51180472591675,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,0.2439065602477239,HYD_0088,17.56830783131908,78.52121897686234,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,0.06113561658518569,HYD_0089,17.568424535007587,78.53063362827326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,0.1695358920768896,HYD_0090,17.568542311148146,78.54004714337353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,0.27817428608964834,HYD_0091,17.56866009500062,78.54946291052075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,0.3255919833937892,HYD_0092,17.568775695776676,78.5588772161333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,0.08478118098824361,HYD_0093,17.568891628486714,78.56829261289414,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,0.033482919783568064,HYD_0094,17.56900755604992,78.57770799068616,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,0.039753189108597126,HYD_0095,17.569122392308543,78.58712377817756,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,0.007067296938497142,HYD_0096,17.569236077964913,78.59653842281168,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,0.032437083692022986,HYD_0097,17.569351251688452,78.60595306123679,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,0.08518975884332922,HYD_0098,17.569464262273204,78.6153684611338,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,0.04264921420382815,HYD_0099,17.569577579180667,78.62478424105198,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,0.050658285598569344,HYD_0100,17.556189880329654,78.28600920863883,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,0.09016176445947886,HYD_0101,17.556318035856094,78.29542197860081,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,0.18556290685495294,HYD_0102,17.556445143590437,78.30483590891266,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,0.1652352430975627,HYD_0103,17.556573335463327,78.31424871290127,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,0.15998285731732637,HYD_0104,17.556700788481166,78.32366073429992,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,0.3748310897586231,HYD_0105,17.556827522043626,78.33307279269816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,0.5502448717643281,HYD_0106,17.556954604521994,78.34248595391533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,0.5726588622535982,HYD_0107,17.55708056161127,78.3518987492598,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,0.6309191619731884,HYD_0108,17.557207662160287,78.36131268513476,"{""type"":""MultiPoint"",""coordinates"":[]}"
