date,station_id,station_name,ground_no2_mean,valid_readings,total_readings,coverage_percent
2025-04-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.86333333333333,90,96,93.75
2025-04-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,68,96,70.83333333333334
2025-04-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,68,96,70.83333333333334
2025-04-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",35.353658536585364,82,96,85.41666666666666
2025-04-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.19120879120879,91,96,94.79166666666666
2025-04-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",31.04065934065934,91,96,94.79166666666666
2025-04-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.968181818181815,88,96,91.66666666666666
2025-04-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.908602150537636,93,96,96.875
2025-04-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.417977528089885,89,96,92.70833333333334
2025-04-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",23.30989010989011,91,96,94.79166666666666
2025-04-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.562025316455696,79,96,82.29166666666666
2025-04-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.34888888888889,90,96,93.75
2025-04-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",31.225,88,96,91.66666666666666
2025-04-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",21.808602150537634,93,96,96.875
2025-04-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.46021505376344,93,96,96.875
2025-04-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.95357142857143,84,96,87.5
2025-04-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.226136363636364,88,96,91.66666666666666
2025-04-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.008791208791212,91,96,94.79166666666666
2025-04-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,61,96,63.541666666666664
2025-04-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,70,96,72.91666666666666
2025-04-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.678021978021977,91,96,94.79166666666666
2025-04-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",20.404301075268815,93,96,96.875
2025-04-29,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.06153846153846,91,96,94.79166666666666
2025-04-30,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.403260869565216,92,96,95.83333333333334
2025-05-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.268478260869564,92,96,95.83333333333334
2025-05-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",34.40561797752809,89,96,92.70833333333334
2025-05-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.66344086021505,93,96,96.875
2025-05-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",22.967741935483872,93,96,96.875
2025-05-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",34.33586956521739,92,96,95.83333333333334
2025-05-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",22.558064516129033,93,96,96.875
2025-05-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",31.451612903225808,93,96,96.875
2025-05-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.084269662921347,89,96,92.70833333333334
2025-05-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.725806451612904,93,96,96.875
2025-05-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.18809523809524,84,96,87.5
2025-05-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,45,96,46.875
2025-05-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,60,96,62.5
2025-05-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,51,96,53.125
2025-05-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.694565217391304,92,96,95.83333333333334
2025-05-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.224175824175827,91,96,94.79166666666666
2025-05-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,66,96,68.75
2025-05-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,59,96,61.458333333333336
2025-05-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.652173913043477,92,96,95.83333333333334
2025-05-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.4,88,96,91.66666666666666
2025-05-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.895698924731185,93,96,96.875
2025-05-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.61358024691358,81,96,84.375
2025-05-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",31.141463414634146,82,96,85.41666666666666
2025-05-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.752688172043012,93,96,96.875
2025-05-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",31.577528089887643,89,96,92.70833333333334
2025-05-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.241573033707866,89,96,92.70833333333334
2025-05-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.002150537634407,93,96,96.875
2025-05-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.833333333333332,93,96,96.875
2025-05-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.25698924731183,93,96,96.875
2025-05-29,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.761290322580646,93,96,96.875
2025-05-30,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.08214285714286,84,96,87.5
2025-05-31,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.315584415584418,77,96,80.20833333333334
2025-06-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.962365591397848,93,96,96.875
2025-06-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.186021505376345,93,96,96.875
2025-06-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.074193548387097,93,96,96.875
2025-06-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",35.353488372093025,86,96,89.58333333333334
2025-06-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",39.36941176470588,85,96,88.54166666666666
2025-06-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.732258064516127,93,96,96.875
2025-06-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.009876543209877,81,96,84.375
2025-06-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.162921348314608,89,96,92.70833333333334
2025-06-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.28082191780822,73,96,76.04166666666666
2025-06-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,49,96,51.041666666666664
2025-06-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.696666666666665,90,96,93.75
2025-06-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",29.819354838709675,93,96,96.875
2025-06-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.586021505376344,93,96,96.875
2025-06-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.223684210526315,76,96,79.16666666666666
2025-06-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.814285714285713,91,96,94.79166666666666
2025-06-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,48,96,50.0
2025-06-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",23.35108695652174,92,96,95.83333333333334
2025-06-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",31.07857142857143,84,96,87.5
2025-06-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.275000000000002,92,96,95.83333333333334
2025-06-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,69,96,71.875
2025-06-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,55,96,57.291666666666664
2025-06-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.462637362637363,91,96,94.79166666666666
2025-06-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.16774193548387,93,96,96.875
