system:index,grid_id,latitude,longitude,ndvi,.geo
00000000000000000098,HYD_0153,17.548551421024722,78.38968108174048,0.2696566200520713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,HYD_0154,17.548674412134314,78.39909313125935,0.2375258485093182,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,HYD_0155,17.54879891143233,78.40850515773825,0.32737804215191374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,HYD_0156,17.548921539383326,78.41791833690208,0.34023649491684493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,HYD_0157,17.54904414108751,78.42733152081398,0.22101364437560514,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,HYD_0158,17.549166758388733,78.43674466520194,0.1663097104640809,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,HYD_0159,17.549287171189132,78.44615781210382,0.39914337205522243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,HYD_0160,17.549408695665967,78.45557137600602,0.4303424905060463,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,HYD_0161,17.54953131118665,78.46498377555439,0.26890897114170076,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,HYD_0162,17.549651730997795,78.47439768911289,0.3593830205747045,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,HYD_0163,17.549769884738293,78.48381006532676,0.28228800055854414,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,HYD_0164,17.54988915525159,78.49322364045914,0.2895679047344231,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,HYD_0165,17.550009545492557,78.50263682654308,0.37547131673763456,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,HYD_0166,17.550128057274417,78.51205106785035,0.3595990434223667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,HYD_0167,17.55024586059235,78.52146536000654,0.32126757632538433,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,HYD_0168,17.550364036664266,78.53087851496088,0.31161463315607457,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,HYD_0169,17.5504799639144,78.54029169366748,0.3722834106576098,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,HYD_0170,17.550596668600456,78.54970637170624,0.42660096237597145,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,HYD_0171,17.550714420316023,78.55912133446253,0.354067017042487,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,HYD_0172,17.550828881728634,78.56853524243876,0.3235483173695333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,HYD_0173,17.550943735328175,78.57794879628719,0.31578003763543444,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,HYD_0174,17.551059687133836,78.58736195970273,0.336239480900061,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,HYD_0175,17.551174867810353,78.59677659695143,0.3792566395551979,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,HYD_0176,17.55128782319929,78.60619122458712,0.33563297682565785,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,HYD_0177,17.55140189516244,78.61560627718418,0.391453670876993,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,HYD_0178,17.551515941062622,78.62501977451866,0.38666530081010486,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,HYD_0179,17.55162821540411,78.63443444931252,0.34462075684635546,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,HYD_0180,17.537479115158007,78.239223212965,0.2920732792472038,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,HYD_0181,17.537611400982993,78.24863414819143,0.26452511463609335,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,HYD_0182,17.537742211492905,78.25804509206911,0.2838952022723628,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,HYD_0183,17.53787222760345,78.26745599159287,0.3226895789405741,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,HYD_0184,17.538001192026638,78.2768680609508,0.2524128295875029,"{""type"":""MultiPoint"",""coordinates"":[]}"
