system:index,elevation_m,grid_id,latitude,longitude,.geo
00000000000000000054,606.3729478405654,HYD_0085,17.56795108015855,78.4929750369072,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,612.0961828992556,HYD_0086,17.56806853915573,78.50239044768749,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,604.9578704013946,HYD_0087,17.568189292262396,78.51180472591675,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,596.9750235326841,HYD_0088,17.56830783131908,78.52121897686234,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,594.7923780620563,HYD_0089,17.568424535007587,78.53063362827326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,587.3377151411846,HYD_0090,17.568542311148146,78.54004714337353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,582.6216595542273,HYD_0091,17.56866009500062,78.54946291052075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,576.0986955633078,HYD_0092,17.568775695776676,78.5588772161333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,578.49959144034,HYD_0093,17.568891628486714,78.56829261289414,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,574.6012256987963,HYD_0094,17.56900755604992,78.57770799068616,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,575.5592419124267,HYD_0095,17.569122392308543,78.58712377817756,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,586.8646930140474,HYD_0096,17.569236077964913,78.59653842281168,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,579.5580985561631,HYD_0097,17.569351251688452,78.60595306123679,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,568.8966851346916,HYD_0098,17.569464262273204,78.6153684611338,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,568.2752939757996,HYD_0099,17.569577579180667,78.62478424105198,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,534.7855020119353,HYD_0100,17.556189880329654,78.28600920863883,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,537.8083043428718,HYD_0101,17.556318035856094,78.29542197860081,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,542.3086961330051,HYD_0102,17.556445143590437,78.30483590891266,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,546.440507262158,HYD_0103,17.556573335463327,78.31424871290127,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,548.6849433969863,HYD_0104,17.556700788481166,78.32366073429992,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,553.9078539574685,HYD_0105,17.556827522043626,78.33307279269816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,565.0503923500127,HYD_0106,17.556954604521994,78.34248595391533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,570.0925752777363,HYD_0107,17.55708056161127,78.3518987492598,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,573.9881189379778,HYD_0108,17.557207662160287,78.36131268513476,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,580.1370940182393,HYD_0109,17.557333594297184,78.37072544338761,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,582.3534311475355,HYD_0110,17.557458471951886,78.38013861373143,"{""type"":""MultiPoint"",""coordinates"":[]}"
