system:index,bare_fraction,builtup_fraction,cropland_fraction,grid_id,latitude,longitude,vegetation_fraction,water_fraction,.geo
0000000000000000014b,0.0037029976221877522,0.7710854902813536,9.494865697917314E-5,HYD_0332,17.51316881514251,78.44666281330639,0.22511656343947956,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014c,0.001831148661426234,0.9667686908199108,9.492638923840002E-5,HYD_0333,17.513288862893692,78.45607488730161,0.03130523412942451,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014d,0.0700380439134395,0.7130688198193336,0.029619505000828703,HYD_0334,17.513409234107638,78.46548580636838,0.18727363126639887,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e,0.04374370174752193,0.6386013868347108,0.0588576463716668,HYD_0335,17.51352965266475,78.47489674178206,0.25879726504609935,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f,0.016322096923757884,0.6454405451072615,0.06814175796644978,HYD_0336,17.51365005833817,78.48430988670778,0.2700956000025316,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000150,0.02689586147629737,0.7306448393933479,0.025011803289431565,HYD_0337,17.51376933289355,78.49372121251211,0.21744749584092307,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151,0.007119325083962559,0.914121117476121,0.00979860896076984,HYD_0338,17.513887476897093,78.50313135506292,0.06699214563037424,0.0019688028487721233,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152,0.0016137341995506127,0.8816829442254742,0.02462964148670524,HYD_0339,17.514006011305984,78.51254418429265,0.09207368008826967,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000153,0.003053708422764252,0.36069748858999795,0.006262986634768658,HYD_0340,17.514123804468092,78.52195548423016,0.6299858163524682,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000154,0.010361550222259293,0.1756101611482267,0.05715590024136117,HYD_0341,17.514240503775564,78.53136792187678,0.7568723883881531,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000155,0.03215441865868544,0.3005934539106967,0.09802452605232136,HYD_0342,17.51435715483486,78.5407788387479,0.5690377020844984,1.8989929379803803E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156,0.004293803814440086,0.44480189959041927,0.06833054510875934,HYD_0343,17.514473855479913,78.55019128348225,0.482573751486381,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000157,0.0070344483646703326,0.879654399833266,0.04147797478153427,HYD_0344,17.514589763186475,78.55960364784248,0.0718331770205291,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158,0.004271671613988299,0.40307940060350594,0.18662011940578527,HYD_0345,17.514704609246024,78.56901721889072,0.4005230982964682,0.0055057100802515845,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000159,0.011276119522473123,0.6335512496895469,0.10484374552006702,HYD_0346,17.514820909018866,78.57842925495632,0.2503288852679136,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a,0.09768221044572929,0.2549170084927777,0.16811067718805944,HYD_0347,17.514936124656913,78.58784019286963,0.4677506799286259,0.01153942394480737,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015b,0.11598731610927082,0.09894045287059022,0.004514485292092074,HYD_0348,17.515050172082564,78.59725221186379,0.7805577457280469,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015c,0.007275102976787645,0.11017371574497864,0.22298304163556731,HYD_0349,17.51516388529184,78.60666539016214,0.6595681396426661,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015d,0.02228415885592524,0.07356776601502911,0.4344448671721036,HYD_0350,17.515277610836776,78.61607855932253,0.44891406558863667,0.020789142368305657,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015e,0.012103390870321395,0.3551204047840278,0.2844823606842492,HYD_0351,17.51539058390415,78.62549097867506,0.344781541109761,0.00351230255164034,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015f,0.023503111931682245,0.06558814150684691,0.4347636647232674,HYD_0352,17.515502786592503,78.63490263510114,0.47614508183820325,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000160,0.006054950358188287,0.1896330974682174,0.36566050976483083,HYD_0353,17.515614266392802,78.64431583378574,0.43865144240876375,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000161,0.004838994144091515,0.04931495024077762,0.45647993594146585,HYD_0354,17.515725741741374,78.65372899035134,0.48936611967366467,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000162,0.033884405248280326,0.24202311299146775,0.42253013887906105,HYD_0355,17.501365211935425,78.23977053931951,0.30156234288119127,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
