system:index,distance_to_water_m,grid_id,latitude,longitude,.geo
00000000000000000096,1035.0594350213523,HYD_0151,17.548303914588484,78.3708547646274,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,849.9240338822431,HYD_0152,17.548428780853985,78.38026791494704,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,401.8509817866227,HYD_0153,17.548551421024722,78.38968108174048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,1062.6122589585648,HYD_0154,17.548674412134314,78.39909313125935,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,1901.0252017717512,HYD_0155,17.54879891143233,78.40850515773825,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,1647.596580980293,HYD_0156,17.548921539383326,78.41791833690208,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,649.2290988700111,HYD_0157,17.54904414108751,78.42733152081398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,299.12191669843855,HYD_0158,17.549166758388733,78.43674466520194,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,1295.3621186491023,HYD_0159,17.549287171189132,78.44615781210382,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,1145.8395207427957,HYD_0160,17.549408695665967,78.45557137600602,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,286.58134291044774,HYD_0161,17.54953131118665,78.46498377555439,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,921.5955487125021,HYD_0162,17.549651730997795,78.47439768911289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,990.0446463388715,HYD_0163,17.549769884738293,78.48381006532676,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,1547.9655778108104,HYD_0164,17.54988915525159,78.49322364045914,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,2241.38255300945,HYD_0165,17.550009545492557,78.50263682654308,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,3069.5817103103504,HYD_0166,17.550128057274417,78.51205106785035,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,2070.062016414479,HYD_0167,17.55024586059235,78.52146536000654,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,1070.691120209618,HYD_0168,17.550364036664266,78.53087851496088,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,74.12056163067783,HYD_0169,17.5504799639144,78.54029169366748,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,842.4618047562262,HYD_0170,17.550596668600456,78.54970637170624,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,1842.1150266043653,HYD_0171,17.550714420316023,78.55912133446253,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,1446.1358673190084,HYD_0172,17.550828881728634,78.56853524243876,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,893.1759783065165,HYD_0173,17.550943735328175,78.57794879628719,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,539.3265330559218,HYD_0174,17.551059687133836,78.58736195970273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,405.32420410428614,HYD_0175,17.551174867810353,78.59677659695143,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,525.9443110408113,HYD_0176,17.55128782319929,78.60619122458712,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,949.1866632182227,HYD_0177,17.55140189516244,78.61560627718418,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,1874.261708509762,HYD_0178,17.551515941062622,78.62501977451866,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,2850.1442584829706,HYD_0179,17.55162821540411,78.63443444931252,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,2473.5607119001984,HYD_0180,17.537479115158007,78.239223212965,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,1645.7283692923118,HYD_0181,17.537611400982993,78.24863414819143,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,1138.1798372364779,HYD_0182,17.537742211492905,78.25804509206911,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,1371.0201903372492,HYD_0183,17.53787222760345,78.26745599159287,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,1678.116077032444,HYD_0184,17.538001192026638,78.2768680609508,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,748.235593952113,HYD_0185,17.538130504669976,78.2862789650833,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,481.9852311888847,HYD_0186,17.53825981419916,78.29568989558886,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba,754.6721723685956,HYD_0187,17.538387997710743,78.30510268065385,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,742.2434654539707,HYD_0188,17.538515113546882,78.3145143880432,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,1503.3585139314505,HYD_0189,17.538643325273124,78.32392494013307,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd,1426.5733431799692,HYD_0190,17.53877074173941,78.33333696730057,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be,1772.5026098013882,HYD_0191,17.53889522504115,78.34274903706097,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,2486.290500823938,HYD_0192,17.539021962628652,78.35216110488933,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,2444.8469682328987,HYD_0193,17.539149756944205,78.36157200967443,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,1919.8265003394263,HYD_0194,17.53927424920601,78.3709840714251,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2,1574.522919434264,HYD_0195,17.53939911237893,78.38039722372181,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3,1401.2108288752727,HYD_0196,17.539521763555612,78.38981039294062,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4,1454.2600251382507,HYD_0197,17.539644383250582,78.3992213347634,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5,1052.705366103745,HYD_0198,17.539769213705075,78.40863226941781,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6,797.1348136455887,HYD_0199,17.539891859088705,78.41804542975784,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7,1093.4597098357094,HYD_0200,17.54001447303215,78.42745860150029,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8,919.5906560666505,HYD_0201,17.540137102745128,78.43687176390289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9,1579.1579724130047,HYD_0202,17.54025785298955,78.44628378263488,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca,1684.2633594619492,HYD_0203,17.54037790025738,78.45569583859881,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb,1267.0671766094117,HYD_0204,17.540499397310953,78.46510940540371,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc,1198.448711500667,HYD_0205,17.540619791184344,78.47452179332612,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd,352.9235498036382,HYD_0206,17.540739091181774,78.48393532350714,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce,874.0614521167405,HYD_0207,17.54085946867407,78.49334849355083,"{""type"":""MultiPoint"",""coordinates"":[]}"
